source_id,time,filter,mag
S251023dx,10.700000000000001,g,27.392895470771336
S251023dx,10.700000000000001,i,23.283713512289914
S251023dx,10.700000000000001,r,24.904304026709262
S251023dx,10.700000000000001,u,30.34259489217635
S251023dx,10.700000000000001,y,21.840760657416173
S251023dx,10.700000000000001,z,22.363295199194727
S251023dx,10.8,g,27.464483738384622
S251023dx,10.8,i,23.326289094402647
S251023dx,10.8,r,24.96495726158257
S251023dx,10.8,u,30.392429857395776
S251023dx,10.8,y,21.870640137991582
S251023dx,10.8,z,22.397776787032512
S251023dx,10.9,g,27.536632836695006
S251023dx,10.9,i,23.36927233697519
S251023dx,10.9,r,25.026385937479926
S251023dx,10.9,u,30.44172241592215
S251023dx,10.9,y,21.900645427977242
S251023dx,10.9,z,22.432477136096168
S251023dx,11.0,g,27.608993102012953
S251023dx,11.0,i,23.412518771370646
S251023dx,11.0,r,25.088299770259933
S251023dx,11.0,u,30.490327097952484
S251023dx,11.0,y,21.930702720418317
S251023dx,11.0,z,22.467295433219867
S251023dx,11.100000000000001,g,27.681157649020555
S251023dx,11.100000000000001,i,23.455856713330835
S251023dx,11.100000000000001,r,25.1503715313275
S251023dx,11.100000000000001,u,30.538039615810554
S251023dx,11.100000000000001,y,21.96071342567127
S251023dx,11.100000000000001,z,22.502108549557352
S251023dx,11.200000000000001,g,27.752694988115763
S251023dx,11.200000000000001,i,23.499102290616957
S251023dx,11.200000000000001,r,25.212257862130283
S251023dx,11.200000000000001,u,30.584626370262068
S251023dx,11.200000000000001,y,21.990569946739033
S251023dx,11.200000000000001,z,22.536783477043286
S251023dx,11.3,g,27.82318085249692
S251023dx,11.3,i,23.542076321385128
S251023dx,11.3,r,25.27362417435958
S251023dx,11.3,u,30.629848336788296
S251023dx,11.3,y,22.02016430119179
S251023dx,11.3,z,22.571187628515617
S251023dx,11.4,g,27.892223260227148
S251023dx,11.4,i,23.584612343642245
S251023dx,11.4,r,25.33416535941158
S251023dx,11.4,u,30.6734802557811
S251023dx,11.4,y,22.049395989359724
S251023dx,11.4,z,22.605197999507283
S251023dx,11.5,g,27.95948755656404
S251023dx,11.5,i,23.626570844242323
S251023dx,11.5,r,25.39362209158059
S251023dx,11.5,u,30.715331021384795
S251023dx,11.5,y,22.078183485249617
S251023dx,11.5,z,22.638712966751346
S251023dx,11.600000000000001,g,28.024713171624498
S251023dx,11.600000000000001,i,23.667846977464645
S251023dx,11.600000000000001,r,25.451792666504105
S251023dx,11.600000000000001,u,30.755255359154777
S251023dx,11.600000000000001,y,22.106466868271184
S251023dx,11.600000000000001,z,22.671658613517053
S251023dx,11.700000000000001,g,28.087713365502502
S251023dx,11.700000000000001,i,23.70836909127574
S251023dx,11.700000000000001,r,25.508537324075586
S251023dx,11.700000000000001,u,30.793157029451088
S251023dx,11.700000000000001,y,22.134210205751153
S251023dx,11.700000000000001,z,22.70398750768427
S251023dx,11.8,g,28.148384416332476
S251023dx,11.8,i,23.748103440901033
S251023dx,11.8,r,25.56377794700434
S251023dx,11.8,u,30.82899254433538
S251023dx,11.8,y,22.1614030170645
S251023dx,11.8,z,22.735680515104583
S251023dx,11.9,g,28.206691155290482
S251023dx,11.9,i,23.787048337217065
S251023dx,11.9,r,25.617489795809103
S251023dx,11.9,u,30.862768231111236
S251023dx,11.9,y,22.188056637197207
S251023dx,11.9,z,22.766746390338003
S251023dx,12.0,g,28.26266357367798
S251023dx,12.0,i,23.82523217238309
S251023dx,12.0,r,25.669700600516762
S251023dx,12.0,u,30.89453411874604
S251023dx,12.0,y,22.214203281345732
S251023dx,12.0,z,22.79721603425575
S251023dx,12.100000000000001,g,28.316385896141497
S251023dx,12.100000000000001,i,23.862707981320483
S251023dx,12.100000000000001,r,25.720478927541457
S251023dx,12.100000000000001,u,30.924374960776525
S251023dx,12.100000000000001,y,22.23989300778875
S251023dx,12.100000000000001,z,22.8271407952337
S251023dx,12.200000000000001,g,28.367979086837614
S251023dx,12.200000000000001,i,23.89954525811462
S251023dx,12.200000000000001,r,25.76992124486797
S251023dx,12.200000000000001,u,30.952402149778514
S251023dx,12.200000000000001,y,22.265186118189078
S251023dx,12.200000000000001,z,22.85658500453883
S251023dx,12.3,g,28.417596309165162
S251023dx,12.3,i,23.935828777269673
S251023dx,12.3,r,25.818150017411167
S251023dx,12.3,u,30.97874772236477
S251023dx,12.3,y,22.290153454781127
S251023dx,12.3,z,22.885623918071815
S251023dx,12.4,g,28.46540571519511
S251023dx,12.4,i,23.971649734626197
S251023dx,12.4,r,25.865299450446532
S251023dx,12.4,u,31.003553698082094
S251023dx,12.4,y,22.31487054957612
S251023dx,12.4,z,22.91434009302247
S251023dx,12.5,g,28.511586246463125
S251023dx,12.5,i,24.007102880536557
S251023dx,12.5,r,25.9115092888566
S251023dx,12.5,u,31.02696828576951
S251023dx,12.5,y,22.339414936282655
S251023dx,12.5,z,22.942816673953928
S251023dx,12.600000000000001,g,28.556317536654632
S251023dx,12.600000000000001,i,24.042283875551504
S251023dx,12.600000000000001,r,25.956922626393638
S251023dx,12.600000000000001,u,31.04914122076826
S251023dx,12.600000000000001,y,22.36386502002243
